Survived,Pclass,Sex,Age,Relatives,Fare,Embarked
1,2,1,2,0,10,1
1,3,1,4,3,16,1
0,3,0,2,4,34,1
0,3,0,4,0,8,1
1,1,1,3,5,263,1
0,3,0,3,0,8,1
0,3,0,3,0,8,1
0,3,0,3,0,8,1
0,1,0,5,1,61,1
0,3,0,3,3,21,1
0,3,0,5,0,7,1
0,3,0,5,0,8,1
0,1,0,6,0,35,2
1,1,0,3,1,63,2
1,2,1,4,1,23,1
0,2,0,4,1,26,1
0,3,1,3,0,8,1
0,3,0,3,0,8,1
0,1,0,3,1,77,1
0,3,0,4,0,9,1
0,3,0,4,2,8,1
0,3,0,3,0,8,1
1,3,1,3,0,8,1
1,3,0,3,0,8,1
0,3,0,4,0,8,1
1,3,1,3,1,24,3
0,1,0,5,0,52,1
0,3,1,2,1,14,2
0,3,0,3,0,8,1
0,3,1,3,1,10,1
0,3,1,2,0,14,2
0,3,0,3,0,8,1
0,3,0,6,0,8,3
0,2,0,3,1,21,1
0,1,0,3,1,248,2
0,3,1,1,6,31,1
0,2,0,3,2,74,1
0,3,0,3,0,8,1
0,2,0,4,1,30,2
1,2,1,4,0,13,1
0,1,0,5,1,77,1
1,3,0,1,1,11,2
0,3,0,4,0,8,3
1,3,0,3,0,7,1
1,3,1,3,2,22,2
0,3,0,4,0,7,1
0,3,0,4,0,8,2
0,3,0,3,0,7,1
0,3,1,5,1,14,1
1,2,1,3,1,26,1
0,2,0,3,0,13,1
0,2,0,3,0,15,2
1,1,1,3,2,26,1
0,1,0,4,1,53,1
0,3,0,2,0,9,1
0,1,0,3,0,79,2
0,3,1,3,2,15,2
1,3,1,3,0,8,1
1,3,1,3,1,16,1
0,3,0,3,0,7,3
0,2,0,2,0,12,1
0,2,0,3,2,37,1
1,3,0,3,0,8,1
0,3,1,1,4,34,1
0,2,0,4,2,26,1
0,2,0,4,0,13,1
0,2,0,5,0,13,1
1,1,1,3,1,67,1
0,3,0,5,0,8,1
0,3,0,4,2,14,1
0,3,0,3,0,7,1
0,1,0,5,1,61,2
1,3,1,2,0,8,3
0,3,0,3,0,8,1
0,3,0,4,0,9,1
0,3,0,4,10,70,1
0,3,0,4,1,16,1
1,2,1,4,0,16,1
0,3,0,3,0,8,1
0,3,0,2,0,9,1
0,3,0,1,5,40,1
1,3,0,1,2,21,1
1,1,1,4,1,55,1
0,3,1,4,5,28,1
0,1,0,5,0,26,1
0,3,0,3,0,56,1
0,1,0,6,0,34,1
0,3,0,1,5,29,3
1,3,1,1,2,11,1
0,3,0,3,0,8,1
0,1,0,5,0,31,2
0,3,0,2,2,8,1
0,3,0,3,4,25,1
0,1,1,5,0,29,2
0,2,0,3,0,13,1
0,3,0,4,0,12,1
0,3,1,5,10,70,1
0,2,0,4,0,15,2
0,3,0,1,6,31,1
1,2,0,1,3,39,1
1,3,1,1,2,22,1
0,1,0,4,0,50,1
1,3,1,4,1,16,3
1,1,0,4,0,27,1
0,3,0,4,2,16,3
0,3,0,4,0,8,1
1,2,1,4,0,13,1
0,2,0,3,0,13,1
1,3,1,3,1,8,1
1,2,0,1,2,26,1
1,1,1,4,0,28,2
1,1,1,5,0,147,2
0,3,0,4,0,8,3
0,3,0,4,1,8,1
1,3,1,5,0,8,3
0,2,1,3,0,13,1
0,3,0,3,0,10,1
0,3,0,4,10,70,1
0,3,0,4,0,6,1
0,3,0,5,0,7,2
1,3,0,2,0,8,1
0,3,1,1,1,10,1
0,3,0,4,1,16,1
1,3,0,3,0,19,2
1,3,1,2,0,8,3
1,1,0,4,0,31,2
0,3,0,3,0,7,1
1,2,1,4,0,21,1
0,3,0,3,0,7,1
0,2,0,3,0,13,1
0,3,0,4,1,8,3
1,1,1,4,1,113,2
1,3,1,3,0,8,1
0,2,0,4,1,27,1
1,1,1,4,0,76,2
0,2,0,3,0,10,1
1,3,0,2,0,8,1
0,2,0,3,0,13,1
0,3,0,5,0,8,1
0,3,0,3,0,8,1
1,1,0,4,1,90,1
0,3,0,3,0,9,1
1,2,0,3,0,10,1
0,3,0,3,0,7,1
0,2,0,2,0,13,1
0,3,1,4,4,25,1
1,1,1,4,1,83,1
0,3,0,3,0,8,1
0,2,0,5,0,14,1
1,3,1,1,6,31,1
0,2,0,3,0,10,1
0,3,1,5,0,8,1
0,2,0,4,1,26,1
1,2,1,1,2,26,1
0,2,0,3,0,10,1
0,2,0,4,0,12,1
0,3,1,4,1,14,2
1,3,1,4,1,16,3
0,2,0,3,0,10,1
0,3,0,3,0,7,1
0,3,0,3,0,7,2
0,1,0,4,2,90,3
0,3,1,3,0,8,1
1,2,1,3,2,14,1
1,1,0,4,2,53,1
0,2,0,5,1,26,1
0,3,0,4,0,7,1
0,3,1,3,2,10,1
0,1,0,6,0,27,1
0,3,0,3,1,16,1
0,3,1,4,2,20,1
1,3,1,3,2,15,2
1,1,1,3,0,79,2
1,1,1,3,0,86,1
1,1,1,4,0,512,2
1,2,1,5,1,26,1
0,3,0,3,0,8,3
1,3,0,1,6,31,1
0,1,0,5,2,80,1
0,1,0,4,0,86,1
0,3,1,4,0,8,3
0,2,0,4,0,10,1
0,3,0,2,5,40,1
1,3,0,3,1,8,1
1,1,1,5,1,153,1
1,1,1,4,0,136,1
0,1,0,3,0,31,1
1,3,0,3,0,12,1
1,2,1,4,1,20,1
0,1,0,4,1,30,2
1,3,1,4,0,8,3
1,1,1,6,1,78,1
0,3,1,4,0,8,1
0,2,0,3,0,18,1
0,3,0,1,5,29,3
1,3,1,4,2,20,1
0,3,0,6,0,8,3
0,3,0,3,0,8,1
0,3,0,2,0,10,1
1,3,0,3,0,8,1
0,1,0,3,0,26,1
0,3,0,4,0,9,2
1,3,0,3,0,10,1
0,3,0,3,0,8,1
1,2,0,4,0,13,1
1,3,1,3,0,8,3
1,1,1,3,0,79,1
1,1,1,3,1,91,2
0,2,0,4,0,13,2
0,3,1,3,0,9,1
0,3,0,3,0,8,1
0,1,0,4,0,28,2
0,3,0,3,0,7,2
0,1,1,1,3,152,1
1,1,0,4,0,30,1
1,1,1,5,1,248,2
1,3,1,4,0,8,3
1,3,0,3,2,23,3
0,3,0,3,0,12,1
1,2,1,3,0,12,3
0,3,0,3,0,8,1
1,1,0,1,3,152,1
1,1,1,3,0,111,2
1,1,1,2,1,109,2
0,2,0,3,1,24,2
1,1,1,3,0,57,2
1,1,1,3,0,83,2
1,1,1,2,4,262,2
0,2,1,3,2,26,1
0,3,0,3,0,8,1
0,2,0,4,2,26,1
1,3,1,3,0,8,1
1,2,1,3,1,26,1
0,2,0,5,0,14,1
1,1,1,4,2,165,1
1,1,1,4,2,134,2
0,3,0,3,0,7,1
0,3,0,3,0,8,1
1,2,1,3,0,12,3
1,2,1,3,2,29,1
0,3,0,3,10,70,1
1,1,1,4,0,136,2
0,3,0,6,0,6,1
1,2,1,4,0,13,1
1,3,1,4,2,21,1
1,1,1,2,1,58,2
1,3,1,3,2,23,3
0,1,0,5,0,28,1
0,1,0,4,1,153,1
0,3,0,2,2,18,1
1,1,1,5,1,134,1
0,3,0,5,0,8,1
0,1,0,3,1,67,1
1,1,1,4,0,134,2
1,3,0,4,0,8,1
0,1,0,4,0,36,1
1,2,0,1,2,26,1
1,1,1,3,5,263,1
0,2,0,3,0,13,1
0,2,0,3,0,13,1
0,2,0,4,0,13,1
1,2,1,3,0,13,1
1,2,1,4,0,13,1
1,3,1,4,1,16,1
1,3,0,1,2,16,1
0,3,0,4,0,9,1
0,3,0,3,0,9,1
0,1,0,3,0,35,1
0,3,0,2,2,7,2
0,3,0,3,1,18,1
0,3,0,4,0,7,2
0,3,0,3,0,10,1
1,1,1,3,1,55,1
0,2,1,4,0,13,1
1,3,1,4,0,8,3
1,3,1,4,0,8,3
0,3,0,4,5,28,1
0,2,0,3,1,28,2
0,3,1,4,1,14,2
0,3,0,4,0,7,1
0,3,0,3,1,16,3
0,3,0,3,0,7,1
1,1,1,5,1,75,2
1,3,1,5,0,7,2
1,3,1,3,0,8,3
1,1,1,3,0,69,2
1,1,0,3,1,55,2
0,3,0,2,1,6,1
0,3,0,3,0,8,1
0,1,0,3,0,136,2
0,3,1,1,4,21,1
1,1,1,3,1,82,2
1,3,1,3,0,7,1
0,1,0,3,2,212,2
0,3,0,3,0,4,2
0,3,0,3,0,8,1
1,1,1,4,0,228,2
1,3,1,1,2,16,2
0,3,0,4,0,8,1
1,1,1,4,1,52,1
0,3,0,5,0,8,1
0,2,0,2,0,74,1
0,3,0,1,7,47,1
1,2,1,4,0,13,1
0,3,0,4,0,8,3
1,2,1,2,0,12,2
1,1,0,4,3,120,1
1,3,0,3,0,8,1
0,3,0,3,2,8,1
1,1,1,3,1,113,2
1,3,1,3,2,17,1
0,3,0,3,0,8,1
0,3,1,4,0,8,1
0,2,0,5,0,26,1
0,2,0,3,0,10,1
1,2,1,3,0,13,1
1,3,0,4,0,8,1
0,3,0,3,0,8,1
0,3,1,3,1,10,1
0,3,0,3,1,16,1
0,3,1,3,0,9,1
0,2,0,4,1,21,1
0,3,0,5,0,8,1
1,2,0,1,2,19,1
0,3,0,3,0,8,1
0,3,1,4,4,25,1
0,3,0,4,0,8,1
0,3,0,3,0,7,3
1,1,1,4,1,90,3
0,2,0,3,0,18,1
1,3,0,4,0,8,1
0,3,1,4,0,8,1
1,2,1,4,2,32,1
1,2,1,2,2,13,1
0,2,0,3,0,13,1
0,3,1,1,2,24,1
0,3,0,3,0,8,2
0,3,0,3,0,8,3
0,3,0,3,0,8,1
0,3,1,3,2,14,1
0,3,0,2,2,20,1
0,3,0,3,0,7,1
1,2,1,3,1,26,1
1,2,1,3,0,26,1
0,3,0,3,0,8,3
1,3,0,4,0,8,1
1,1,0,3,0,27,1
1,3,1,4,1,16,1
1,2,1,4,1,26,1
0,3,0,2,0,7,1
0,1,0,5,1,56,1
1,1,1,2,3,120,1
0,3,1,3,4,34,1
1,2,1,3,5,19,1
0,1,0,6,5,263,1
0,2,0,4,0,10,1
1,2,1,4,2,26,1
0,3,0,3,0,10,1
0,3,0,3,1,8,1
1,2,1,3,0,13,1
1,3,0,4,0,8,1
1,1,0,1,2,82,1
1,2,1,2,1,20,1
1,1,0,4,0,27,1
1,3,1,1,3,19,2
1,1,0,5,0,30,1
0,2,0,4,3,28,1
0,3,0,4,1,20,1
0,1,0,3,0,28,2
1,1,0,5,1,89,2
0,3,0,3,0,8,1
1,3,0,3,0,8,2
0,1,0,6,0,27,1
1,1,1,3,1,52,1
1,2,1,5,0,10,1
0,3,0,4,0,8,3
1,1,0,5,0,27,1
0,3,0,4,0,8,1
0,1,0,5,0,38,1
0,2,0,5,0,13,1
0,3,0,5,0,8,1
0,3,0,4,0,7,1
0,2,0,4,0,18,1
0,1,0,5,0,27,1
0,3,0,5,0,8,3
1,3,1,1,3,19,2
0,3,0,3,0,7,1
0,3,0,4,0,9,1
1,2,1,4,3,28,1
1,2,1,3,0,14,2
0,3,1,3,0,10,1
0,1,0,4,0,52,1
0,2,0,4,1,21,1
0,3,0,3,1,7,1
0,3,0,3,0,8,1
1,3,1,1,1,12,1
0,3,0,1,7,47,1
0,2,0,3,0,18,1
0,3,0,5,0,8,1
1,3,1,6,0,10,1
1,1,0,3,1,91,2
0,3,1,4,4,25,1
1,1,1,4,1,90,1
0,1,0,5,0,30,2
0,3,0,3,0,8,1
1,3,0,1,2,16,1
0,3,0,3,1,20,1
0,3,0,3,0,7,1
0,1,0,5,0,30,1
0,1,0,6,0,50,2
0,3,0,3,0,8,1
0,3,0,3,0,14,2
1,1,1,5,1,78,2
0,3,0,4,0,15,1
0,1,1,3,3,152,1
0,3,0,3,0,8,1
0,3,0,2,0,9,1
0,3,1,3,0,8,3
0,3,1,3,0,8,3
0,3,1,4,0,10,1
1,1,1,2,0,86,1
0,1,0,2,1,109,2
1,2,1,4,2,26,1
1,1,0,3,0,27,1
0,3,0,3,0,23,1
1,3,0,3,0,56,1
1,3,0,3,0,8,3
0,3,0,3,0,8,1
1,1,0,4,0,26,1
1,1,1,5,1,59,2
0,3,0,3,0,7,1
0,1,0,5,0,34,1
1,2,1,4,0,10,1
0,3,0,4,0,24,3
1,2,1,4,1,26,1
0,3,0,4,0,8,1
1,1,1,3,0,94,1
0,3,0,3,0,8,1
0,3,0,3,0,7,2
1,1,1,4,1,58,2
0,3,0,4,0,7,2
0,3,0,4,0,8,3
1,2,1,5,0,10,1
0,1,0,5,0,222,1
0,3,0,4,0,8,1
0,2,0,3,3,12,1
1,2,1,1,2,26,1
0,3,0,4,0,7,2
0,3,0,2,2,7,2
1,3,1,3,2,22,2
0,3,1,3,0,9,1
1,2,1,1,2,26,1
0,1,0,4,0,27,1
1,1,1,3,0,106,2
0,3,0,3,0,14,1
1,1,1,3,2,50,2
1,1,1,4,2,71,1
0,3,1,1,6,31,1
0,3,1,1,6,31,1
1,2,0,4,1,26,1
0,1,0,5,1,106,2
0,1,0,6,0,26,1
1,2,1,3,1,26,1
1,2,0,3,0,14,2
0,3,0,4,2,21,1
1,2,0,1,2,37,1
1,1,0,2,2,111,2
0,2,0,3,0,26,1
0,3,0,4,0,8,3
1,3,0,3,0,7,2
1,3,1,3,0,8,1
0,1,0,6,0,27,1
1,1,1,5,1,40,2
0,1,0,3,0,228,2
1,1,1,4,2,80,1
1,3,1,4,1,17,1
0,3,0,3,0,8,3
0,3,0,4,0,8,1
0,2,0,3,0,14,1
0,3,0,4,0,8,1
0,3,1,5,0,8,1
0,3,0,3,2,24,1
0,3,0,3,0,8,1
0,3,1,3,4,21,1
0,3,0,3,0,7,2
1,3,0,4,0,8,1
1,2,0,6,0,10,1
1,1,1,5,2,51,1
1,1,0,4,0,26,1
1,3,1,4,0,8,3
0,3,0,2,0,8,1
0,3,0,3,0,14,1
1,2,1,4,0,13,1
1,1,1,4,1,56,1
0,3,1,4,1,14,2
1,3,0,4,0,8,1
1,2,1,3,2,30,1
1,1,1,4,2,111,2
0,2,0,5,0,26,1
0,1,0,4,0,40,2
0,3,0,3,0,9,2
1,1,1,2,2,80,1
0,2,0,5,0,15,1
1,1,0,5,2,79,2
0,3,0,3,0,8,1
0,3,0,3,0,8,1
0,3,0,4,0,7,1
1,1,1,5,1,78,2
0,3,0,5,0,7,1
0,3,1,4,2,8,3
0,2,0,4,1,26,1
0,3,0,4,2,24,1
1,2,1,3,0,33,1
0,3,0,5,0,12,1
0,3,0,4,0,7,2
1,1,0,5,1,57,2
1,2,1,3,3,27,1
0,3,0,4,0,8,1
0,1,0,3,0,42,1
0,3,0,4,0,8,1
1,1,0,4,0,27,2
0,3,0,4,1,16,1
0,3,0,3,0,8,1
1,1,0,3,0,30,1
1,2,1,3,3,42,2
1,1,1,4,0,153,1
0,3,1,4,6,31,1
0,3,0,3,0,7,1
1,3,1,3,1,16,3
0,3,0,4,0,8,3
0,3,0,4,0,8,1
1,2,1,3,3,65,1
0,3,0,4,2,14,1
0,3,1,3,1,16,1
1,2,1,1,3,39,1
0,2,0,3,0,10,1
0,3,0,3,1,14,2
1,1,0,4,1,53,1
1,3,0,3,2,16,2
0,3,0,3,0,8,1
0,3,0,3,0,16,1
0,1,0,6,0,32,1
0,2,0,5,0,12,3
1,1,1,3,0,78,1
0,3,0,3,0,8,1
0,3,0,4,0,8,3
1,1,0,6,0,30,1
0,3,0,5,0,7,1
1,1,0,4,0,30,2
0,1,0,4,0,86,1
0,3,1,1,5,28,1
1,2,1,3,0,13,1
0,3,0,4,0,8,1
0,2,0,4,2,26,1
0,3,1,4,5,40,1
0,3,0,5,1,16,1
0,3,0,3,0,8,1
1,1,1,3,0,69,2
0,3,1,1,5,28,1
1,3,0,4,0,56,1
1,3,1,1,3,19,2
1,1,0,5,1,77,2
0,3,0,3,0,8,1
1,1,0,5,0,36,2
0,3,0,4,0,8,1
1,3,1,3,0,8,1
0,3,0,4,0,8,1
1,2,1,2,1,23,1
0,3,0,3,0,8,1
1,3,1,5,0,8,3
0,3,1,2,0,7,3
0,2,0,3,2,74,1
0,3,0,3,0,8,1
0,3,1,4,2,16,3
0,2,0,3,0,13,1
0,1,0,5,2,113,2
1,1,0,5,2,134,1
0,3,0,4,0,7,2
0,1,0,5,0,26,1
0,3,0,4,0,7,1
1,3,0,3,1,8,1
0,2,0,4,2,74,1
0,2,0,3,0,13,1
0,3,0,3,0,8,1
0,3,0,4,0,8,1
1,1,1,4,1,52,1
1,2,1,4,2,39,1
0,1,0,4,1,52,1
0,2,0,6,0,10,1
1,2,0,4,0,13,1
0,2,0,3,0,18,1
0,3,0,2,0,8,1
0,3,0,3,0,8,1
1,3,1,2,0,10,1
0,3,1,4,7,47,1
1,1,0,4,1,512,2
0,3,1,5,0,8,3
1,1,0,3,0,77,2
0,3,0,3,0,9,1
0,3,0,2,7,47,1
0,2,0,5,2,39,1
0,2,0,3,3,42,2
0,3,0,2,5,40,1
0,3,0,3,0,10,1
0,3,0,2,0,8,1
1,1,1,2,1,211,1
1,1,0,4,1,57,1
1,3,1,1,1,13,2
1,3,0,4,0,56,1
0,3,0,3,0,7,2
0,1,0,5,0,27,1
0,2,0,5,0,14,1
0,3,0,4,0,8,1
1,3,1,4,0,8,3
0,1,0,5,2,111,2
0,3,0,4,0,8,1
1,1,1,2,1,228,2
1,1,0,4,0,26,1
0,3,1,2,1,14,2
0,3,0,3,0,8,3
0,3,0,3,1,8,1
0,2,0,4,0,26,1
1,2,1,4,0,14,1
1,1,0,4,0,26,1
1,1,1,3,0,152,1
1,3,0,4,2,15,2
1,1,1,3,0,50,2
0,1,0,5,0,27,1
1,1,0,5,1,52,1
0,3,0,3,0,9,1
0,2,0,5,0,13,1
0,3,0,3,0,8,1
1,1,1,4,0,228,2
1,2,1,3,0,10,1
0,3,0,4,0,16,3
0,3,0,4,0,8,1
1,2,1,1,1,33,1
0,3,0,2,1,7,1
0,2,0,4,0,13,1
0,2,0,5,0,13,1
1,1,0,3,1,53,1
0,3,0,3,0,9,1
1,2,1,3,3,21,1
1,3,1,5,0,8,3
0,2,0,3,1,26,1
0,3,1,3,1,8,1
1,1,1,3,0,211,1
0,3,0,1,0,19,2
0,2,0,3,0,18,1
0,2,0,3,0,13,1
0,2,0,3,0,13,1
0,3,0,3,0,16,1
0,3,1,5,4,34,1
1,1,0,4,0,512,2
0,3,0,3,0,8,1
0,3,0,5,0,8,1
1,1,0,4,0,30,1
0,1,0,4,1,79,1
1,1,1,3,4,262,2
0,3,0,3,1,16,1
1,3,0,4,0,8,1
0,1,0,6,2,71,1
0,3,0,2,2,20,1
1,2,1,3,0,13,1
0,1,0,3,1,53,1
0,3,0,4,0,8,3
1,2,1,1,2,23,1
1,3,0,1,1,12,1
0,3,0,4,0,10,1
0,3,0,3,0,8,1
1,2,1,5,3,65,1
1,2,0,1,2,14,1
0,3,0,3,0,8,1
0,2,0,2,0,12,1
0,3,0,4,0,8,1
1,1,1,4,0,86,1
0,3,0,5,0,14,1
0,3,0,4,0,7,1
1,3,0,3,0,7,2
1,1,1,4,3,120,1
0,3,0,2,0,8,1
1,1,1,5,1,78,1
0,1,0,5,0,40,2
0,3,1,4,0,8,3
0,3,0,4,1,24,3
0,3,0,4,0,8,1
0,3,0,3,0,10,1
0,3,0,5,0,8,1
0,2,1,5,0,10,1
0,3,0,3,0,7,2
1,2,1,5,4,23,1
0,3,0,2,0,8,1
0,3,0,4,0,8,3
1,3,1,1,0,12,1
0,3,0,5,0,8,3
1,1,1,4,1,211,1
1,3,1,2,0,7,2
1,1,1,2,1,57,1
0,1,0,3,0,30,1
0,3,0,4,3,23,1
0,3,0,3,0,7,1
0,3,0,3,0,7,1
1,3,1,2,0,7,1
0,3,0,1,5,29,3
1,3,0,1,3,21,1
0,1,0,5,0,79,2
0,3,0,4,0,8,3
0,2,0,2,0,26,1
0,3,1,4,10,70,1
0,1,0,5,0,31,2
0,3,0,3,0,8,1
0,2,0,4,0,13,1
1,1,1,5,0,26,1
1,3,1,4,0,9,1
0,3,0,3,0,7,2
0,3,1,3,2,24,1
0,2,0,4,0,13,1
1,2,1,4,2,26,1
1,1,0,1,3,120,1
1,3,0,1,1,9,2
1,3,0,3,0,7,1
0,3,0,4,0,8,1
0,1,0,4,0,86,1
0,3,1,2,0,8,1
0,2,0,4,0,13,1
1,1,1,4,1,53,1
0,3,0,3,0,8,1
0,3,0,4,0,24,1
0,2,0,4,0,10,1
0,3,1,1,6,31,1
0,3,0,4,0,8,1
0,1,0,3,0,86,1
0,3,1,3,0,8,1
0,2,0,4,2,37,2
0,3,0,4,0,6,1
0,3,0,1,5,28,1
1,1,1,5,2,94,1
1,3,0,3,0,9,1
0,1,0,4,0,86,1
1,3,1,3,1,12,1
0,3,0,1,5,40,1
0,3,0,4,0,7,3
0,3,0,3,0,56,1
1,2,0,1,2,37,2
1,3,0,4,0,8,3
1,1,1,6,0,80,4
1,3,1,2,1,14,2
1,2,0,1,2,19,1
0,3,0,3,0,7,2
0,3,0,3,0,8,1
0,3,0,2,0,8,1
1,1,1,4,2,83,2
0,3,0,3,0,9,1
0,3,0,3,0,8,1
1,3,0,4,0,56,1
1,1,0,5,0,30,2
0,3,0,3,0,8,1
0,2,0,2,0,10,1
1,1,1,3,0,31,2
0,3,0,4,0,6,2
0,3,0,2,0,9,1
0,3,0,4,0,8,1
0,3,0,4,10,70,1
0,3,0,4,0,8,2
0,2,0,3,1,33,1
1,1,1,5,1,89,2
0,3,0,1,6,31,1
0,3,0,6,0,8,1
0,3,1,1,2,15,2
1,1,1,2,1,39,1
0,2,1,4,1,26,1
1,3,1,2,1,9,1
1,1,1,4,2,165,1
1,1,0,5,0,27,1
1,3,1,3,3,19,2
0,3,0,3,0,7,2
0,3,0,4,2,14,1
0,2,0,3,1,12,1
1,1,1,5,0,26,1
0,3,1,3,10,70,1
0,2,0,3,0,13,1
1,2,1,4,0,13,1
1,2,1,3,1,14,2
0,1,0,4,0,50,1
0,3,0,3,0,10,1
1,3,0,1,2,11,1
0,3,0,3,0,8,1
1,1,1,5,2,53,1
0,1,0,4,0,5,1
0,3,0,5,0,9,1
1,2,1,3,1,24,2
1,3,1,2,0,7,2
0,3,0,3,0,10,1
0,3,0,3,0,8,1
0,3,0,3,0,8,1
1,1,1,5,1,83,2
1,2,1,3,1,26,1
0,3,0,4,0,8,1
0,3,1,3,0,11,1
0,2,0,3,0,10,1
0,3,0,3,0,7,1
0,3,1,4,5,29,3
0,2,0,3,0,13,1
1,1,1,3,0,30,1
0,3,1,3,3,23,1
1,1,0,3,0,30,2
0,3,0,4,0,8,3
